Instantiated DTM.
Cyc=        31 Op1=[0x00000000] Op2=[0x00000000] W[W,29= 0x00000000] [_,0x00000f13]   28     PC=(0x80000078,0x80000074,0x80000070) [13, 19, 19], WB: DASM(00000e93)
Cyc=        32 Op1=[0x00000000] Op2=[0x00000000] W[W,30= 0x00000000] [_,0x00000f93]   29     PC=(0x8000007c,0x80000078,0x80000074) [37, 19, 19], WB: DASM(00000f13)
Cyc=        33 Op1=[0x0001e000] Op2=[0x00000000] W[W,31= 0x00000000] [_,0x0001e2b7]   30     PC=(0x80000080,0x8000007c,0x80000078) [73, 55, 19], WB: DASM(00000f93)
Cyc=        34 Op1=[0x0001e000] Op2=[0x00000000] W[W, 5= 0x0001e000] [_,0x3002a073]   31     PC=(0x80000084,0x80000080,0x8000007c) [13,115, 55], WB: DASM(0001e2b7)
Cyc=        35 Op1=[0x00000000] Op2=[0x00000001] W[W, 0= 0x00001800] [_,0x00100293]   32     PC=(0x80000088,0x80000084,0x80000080) [13, 19,115], WB: DASM(3002a073)
Cyc=        36 Op1=[0x00000001] Op2=[0x0000001f] W[W, 5= 0x00000001] [_,0x01f29293]   33     PC=(0x8000008c,0x80000088,0x80000084) [63, 19, 19], WB: DASM(00100293)
Cyc=        37 Op1=[0x80000000] Op2=[0x00000000] W[W, 5= 0x80000000] [_,0x0002ca63]   34   B PC=(0x80000090,0x8000008c,0x80000088) [13, 99, 19], WB: DASM(01f29293)
Cyc=        38 Op1=[0x00000000] Op2=[0x00000001] W[_,20= 0x80000000] [_,0x00100513]   35     PC=(0x800000a0,0x80000090,0x8000008c) [17, 51, 99], WB: DASM(0002ca63)
Cyc=        39 Op1=[0x00000000] Op2=[0x800000a0] W[_,10= 0x00000001] [_,0x00000297]   36     PC=(0x800000a4,0x800000a0,0x80000090) [13, 23, 51], WB: DASM(00004033)
Cyc=        40 Op1=[0x800000a0] Op2=[0x00000044] W[W, 5= 0x800000a0] [_,0x04428293]   36     PC=(0x800000a8,0x800000a4,0x800000a0) [73, 19, 23], WB: DASM(00000297)
Cyc=        41 Op1=[0x800000e4] Op2=[0x800000e4] W[W, 5= 0x800000e4] [_,0x30529073]   37     PC=(0x800000ac,0x800000a8,0x800000a4) [17,115, 19], WB: DASM(04428293)
Cyc=        42 Op1=[0x00003000] Op2=[0x800000ac] W[W, 0= 0x00000100] [_,0x00003197]   38     PC=(0x800000b0,0x800000ac,0x800000a8) [13, 23,115], WB: DASM(30529073)
Cyc=        43 Op1=[0x800030ac] Op2=[0x00000218] W[W, 3= 0x800030ac] [_,0x21818193]   39     PC=(0x800000b4,0x800000b0,0x800000ac) [17, 19, 23], WB: DASM(00003197)
Cyc=        44 Op1=[0x00003000] Op2=[0x800000b4] W[W, 3= 0x800032c4] [_,0x00003217]   40     PC=(0x800000b8,0x800000b4,0x800000b0) [13, 23, 19], WB: DASM(21818193)
Cyc=        45 Op1=[0x800030b4] Op2=[0xfffffa8b] W[W, 4= 0x800030b4] [_,0xa8b20213]   41     PC=(0x800000bc,0x800000b8,0x800000b4) [13, 19, 23], WB: DASM(00003217)
Cyc=        46 Op1=[0x80002b3f] Op2=[0xffffffc0] W[W, 4= 0x80002b3f] [_,0xfc027213]   42     PC=(0x800000c0,0x800000bc,0x800000b8) [73, 19, 19], WB: DASM(a8b20213)
Cyc=        47 Op1=[0x00000000] Op2=[0x00000000] W[W, 4= 0x80002b00] [_,0xf1402573]   43     PC=(0x800000c4,0x800000c0,0x800000bc) [13,115, 19], WB: DASM(fc027213)
Cyc=        48 Op1=[0x00000000] Op2=[0x00000001] W[W,10= 0x00000000] [_,0x00100593]   44     PC=(0x800000c8,0x800000c4,0x800000c0) [63, 19,115], WB: DASM(f1402573)
Cyc=        49 Op1=[0x00000000] Op2=[0x00000001] W[W,11= 0x00000001] [_,0x00b57063]   45     PC=(0x800000cc,0x800000c8,0x800000c4) [13, 99, 19], WB: DASM(00100593)
Cyc=        50 Op1=[0x00000000] Op2=[0x00000011] W[_, 0= 0x00000001] [_,0x01151613]   46     PC=(0x800000d0,0x800000cc,0x800000c8) [33, 19, 99], WB: DASM(00b57063)
Cyc=        51 Op1=[0x80002b00] Op2=[0x00000000] W[W,12= 0x00000000] [_,0x00c20233]   47     PC=(0x800000d4,0x800000d0,0x800000cc) [13, 51, 19], WB: DASM(01151613)
Cyc=        52 Op1=[0x00000000] Op2=[0x00000001] W[W, 4= 0x80002b00] [_,0x00150113]   48     PC=(0x800000d8,0x800000d4,0x800000d0) [13, 19, 51], WB: DASM(00c20233)
Cyc=        53 Op1=[0x00000001] Op2=[0x00000011] W[W, 2= 0x00000001] [_,0x01111113]   49     PC=(0x800000dc,0x800000d8,0x800000d4) [33, 19, 19], WB: DASM(00150113)
Cyc=        54 Op1=[0x00020000] Op2=[0x80002b00] W[W, 2= 0x00020000] [_,0x00410133]   50     PC=(0x800000e0,0x800000dc,0x800000d8) [6f, 51, 19], WB: DASM(01111113)
Cyc=        55 Op1=[0x00000000] Op2=[0x00000000] W[W, 2= 0x80022b00] [_,0x6f80106f]   51   J PC=(0x800000e4,0x800000e0,0x800000dc) [13,111, 51], WB: DASM(00410133)
Cyc=        56 Op1=[0x80022b00] Op2=[0xfffffef0] W[W, 0= 0x800000e4] [_,0xef010113]   52     PC=(0x800017d8,0x800000e4,0x800000e0) [13, 51,111], WB: DASM(6f80106f)
Cyc=        57 Op1=[0x80022b00] Op2=[0xffffff60] W[_, 2= 0x800229f0] [_,0xf6010113]   53     PC=(0x800017dc,0x800017d8,0x800000e4) [23, 19, 51], WB: DASM(00004033)
Cyc=        58 Op1=[0x80022a60] Op2=[0x00000098] W[W, 2= 0x80022a60] [_,0x08812c23]   53     PC=(0x800017e0,0x800017dc,0x800017d8) [23, 35, 19], WB: DASM(f6010113)
Cyc=        59 Op1=[0x80022a60] Op2=[0x00000094] W[_,24= 0x80022af8] [_,0x08912a23]   54     PC=(0x800017e4,0x800017e0,0x800017dc) [13, 35, 35], WB: DASM(08812c23)
Cyc=        60 Op1=[0x80002b00] Op2=[0x00000000] W[_,20= 0x80022af4] [_,0x00020493]   55     PC=(0x800017e8,0x800017e4,0x800017e0) [13, 19, 35], WB: DASM(08912a23)
Cyc=        61 Op1=[0x80002b00] Op2=[0x00000000] W[W, 9= 0x80002b00] [_,0x00020413]   56     PC=(0x800017ec,0x800017e8,0x800017e4) [33, 19, 19], WB: DASM(00020493)
Cyc=        62 Op1=[0x80002b00] Op2=[0x80002b00] W[W, 8= 0x80002b00] [_,0x40848433]   57     PC=(0x800017f0,0x800017ec,0x800017e8) [13, 51, 19], WB: DASM(00020413)
Cyc=        63 Op1=[0x00000000] Op2=[0x00000000] W[W, 8= 0x00000000] [_,0x00040613]   58     PC=(0x800017f4,0x800017f0,0x800017ec) [23, 19, 51], WB: DASM(40848433)
