Instantiated DTM.
Cyc=         41 (0x800000a8, 0x800000a4, 0x800000a0, 0x80000094, 0x80000090) WB[ Z 00: 0x00000001]       ExeInst: DASM(00000297)
Cyc=         42 (0x800000ac, 0x800000a8, 0x800000a4, 0x800000a0, 0x80000094) WB[MZ 00: 0x00000000]       ExeInst: DASM(04428293)
Cyc=         43 (0x800000b0, 0x800000ac, 0x800000a8, 0x800000a4, 0x800000a0) WB[MZ 05: 0x800000a0] S     ExeInst: DASM(30529073)
Cyc=         44 (0x800000b0, 0x800000ac, 0x800000a8, 0x800000a8, 0x800000a4) WB[MZ 05: 0x800000e4]       ExeInst: DASM(00004033)
Cyc=         45 (0x800000b4, 0x800000b0, 0x800000ac, 0x800000a8, 0x800000a8) WB[M  00: 0x00000100]       ExeInst: DASM(00003197)
Cyc=         46 (0x800000b8, 0x800000b4, 0x800000b0, 0x800000ac, 0x800000a8) WB[ Z 00: 0x00000000]       ExeInst: DASM(87818193)
Cyc=         47 (0x800000bc, 0x800000b8, 0x800000b4, 0x800000b0, 0x800000ac) WB[MZ 03: 0x800030ac]       ExeInst: DASM(00002217)
Cyc=         48 (0x800000c0, 0x800000bc, 0x800000b8, 0x800000b4, 0x800000b0) WB[MZ 03: 0x80002924]       ExeInst: DASM(10b20213)
Cyc=         49 (0x800000c4, 0x800000c0, 0x800000bc, 0x800000b8, 0x800000b4) WB[MZ 04: 0x800020b4]       ExeInst: DASM(fc027213)
Cyc=         50 (0x800000c8, 0x800000c4, 0x800000c0, 0x800000bc, 0x800000b8) WB[MZ 04: 0x800021bf] S     ExeInst: DASM(f1402573)
Cyc=         51 (0x800000c8, 0x800000c4, 0x800000c0, 0x800000c0, 0x800000bc) WB[MZ 04: 0x80002180]       ExeInst: DASM(00004033)
Cyc=         52 (0x800000cc, 0x800000c8, 0x800000c4, 0x800000c0, 0x800000c0) WB[M  0a: 0x00000000]       ExeInst: DASM(00100593)
Cyc=         53 (0x800000d0, 0x800000cc, 0x800000c8, 0x800000c4, 0x800000c0) WB[ Z 00: 0x00000000]       ExeInst: DASM(00b57063)
Cyc=         54 (0x800000d4, 0x800000d0, 0x800000cc, 0x800000c8, 0x800000c4) WB[M  0b: 0x00000001]       ExeInst: DASM(01151613)
Cyc=         55 (0x800000d8, 0x800000d4, 0x800000d0, 0x800000cc, 0x800000c8) WB[ Z 00: 0x00000000]       ExeInst: DASM(00c20233)
Cyc=         56 (0x800000dc, 0x800000d8, 0x800000d4, 0x800000d0, 0x800000cc) WB[MZ 0c: 0x00000000]       ExeInst: DASM(00150113)
Cyc=         57 (0x800000e0, 0x800000dc, 0x800000d8, 0x800000d4, 0x800000d0) WB[MZ 04: 0x80002180]       ExeInst: DASM(01111113)
Cyc=         58 (0x800000e4, 0x800000e0, 0x800000dc, 0x800000d8, 0x800000d4) WB[MZ 02: 0x00000001]       ExeInst: DASM(00410133)
Cyc=         59 (0x800000e8, 0x800000e4, 0x800000e0, 0x800000dc, 0x800000d8) WB[MZ 02: 0x00020000]   B   ExeInst: DASM(2b10106f)
Cyc=         60 (0x80001b90, 0x800000e8, 0x800000e4, 0x800000e0, 0x800000dc) WB[MZ 02: 0x80022180]       ExeInst: DASM(00004033)
Cyc=         61 (0x80001b94, 0x80001b90, 0x800000e8, 0x800000e4, 0x800000e0) WB[M  00: 0x800000e4]       ExeInst: DASM(00004033)
Cyc=         62 (0x80001b98, 0x80001b94, 0x80001b90, 0x800000e8, 0x800000e4) WB[ Z 00: 0x80022070]       ExeInst: DASM(f6010113)
Cyc=         63 (0x80001b9c, 0x80001b98, 0x80001b94, 0x80001b90, 0x800000e8) WB[MZ 00: 0x00000000]       ExeInst: DASM(08812c23)
Cyc=         64 (0x80001ba0, 0x80001b9c, 0x80001b98, 0x80001b94, 0x80001b90) WB[M  02: 0x800220e0]       ExeInst: DASM(08912a23)
Cyc=         65 (0x80001ba4, 0x80001ba0, 0x80001b9c, 0x80001b98, 0x80001b94) WB[   18: 0x80022178]       ExeInst: DASM(00020493)
Cyc=         66 (0x80001ba8, 0x80001ba4, 0x80001ba0, 0x80001b9c, 0x80001b98) WB[ Z 14: 0x80022174]       ExeInst: DASM(00020413)
Cyc=         67 (0x80001bac, 0x80001ba8, 0x80001ba4, 0x80001ba0, 0x80001b9c) WB[MZ 09: 0x80002180]       ExeInst: DASM(40848433)
Cyc=         68 (0x80001bb0, 0x80001bac, 0x80001ba8, 0x80001ba4, 0x80001ba0) WB[MZ 08: 0x80002180]       ExeInst: DASM(00040613)
Cyc=         69 (0x80001bb4, 0x80001bb0, 0x80001bac, 0x80001ba8, 0x80001ba4) WB[MZ 08: 0x00000000]       ExeInst: DASM(09312623)
Cyc=         70 (0x80001bb8, 0x80001bb4, 0x80001bb0, 0x80001bac, 0x80001ba8) WB[M  0c: 0x00000000]       ExeInst: DASM(09412423)
Cyc=         71 (0x80001bbc, 0x80001bb8, 0x80001bb4, 0x80001bb0, 0x80001bac) WB[   0c: 0x8002216c]       ExeInst: DASM(00050993)
Cyc=         72 (0x80001bc0, 0x80001bbc, 0x80001bb8, 0x80001bb4, 0x80001bb0) WB[ Z 08: 0x80022168]       ExeInst: DASM(00058a13)
Cyc=         73 (0x80001bc4, 0x80001bc0, 0x80001bbc, 0x80001bb8, 0x80001bb4) WB[MZ 13: 0x00000000]       ExeInst: DASM(00020513)
Cyc=         74 (0x80001bc8, 0x80001bc4, 0x80001bc0, 0x80001bbc, 0x80001bb8) WB[MZ 14: 0x00000001]       ExeInst: DASM(00000597)
Cyc=         75 (0x80001bcc, 0x80001bc8, 0x80001bc4, 0x80001bc0, 0x80001bbc) WB[MZ 0a: 0x80002180]       ExeInst: DASM(5c058593)
Cyc=         76 (0x80001bd0, 0x80001bcc, 0x80001bc8, 0x80001bc4, 0x80001bc0) WB[MZ 0b: 0x80001bc0]       ExeInst: DASM(08112e23)
Cyc=         77 (0x80001bd4, 0x80001bd0, 0x80001bcc, 0x80001bc8, 0x80001bc4) WB[M  0b: 0x80002180]       ExeInst: DASM(09212823)
Cyc=         78 (0x80001bd8, 0x80001bd4, 0x80001bd0, 0x80001bcc, 0x80001bc8) WB[   1c: 0x8002217c]       ExeInst: DASM(09512223)
